"null,""Sourced"",""Placed"",""References"",""Value"",""Footprint"",""Quantity"""
"1,"""","""",""C1, C2, C3, C8, C11, C12, C13, C14"",""100nF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",8"
"2,"""","""",""C4, C5, C6, C15, C16"",""10nF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",5"
"3,"""","""",""C7, C9, C17"",""10uF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",3"
"4,"""","""",""C10"",""1nF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",1"
"5,"""","""",""R4, R5, R6, R7, R8, R9"",""100R"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",6"
"6,"""","""",""R11, R14, R16, R19, R20"",""1K"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",5"
"7,"""","""",""R1, R2, R3"",""1M"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",3"
"8,"""","""",""R10, R13, R21"",""10R"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",3"
"9,"""","""",""R12, R15"",""2K2"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",2"
"10,"""","""",""R17, R18"",""270R"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",2"
"11,"""","""",""U2, U3"",""CNY17-3"",""DIP-6_W7.62mm_LongPads"",2"
"12,"""","""",""U1"",""74HC14"",""SOIC-14_3.9x8.7mm_P1.27mm"",1"
"13,"""","""",""U4"",""LTV-827"",""DIP-8_W7.62mm"",1"
"14,"""","""",""TR1, TR2, TR3"",""PE-65612"",""PE-65612"",3"
"15,"""","""",""FB1"",""1K"",""L_0603_1608Metric_Pad1.05x0.95mm_HandSolder"",1"
"16,"""","""",""PS1"",""SIM1-0505"",""Converter_DCDC_HN_MODUL_SIM1-0505"",1"
"17,"""","""",""J3, J4"",""10MHz"",""PinHeader_1x02_P2.54mm_Horizontal"",2"
"18,"""","""",""J1"",""10MHz Out"",""SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"",1"
"19,"""","""",""J7"",""RF interconnect"",""PinHeader_1x03_P2.54mm_Horizontal"",1"
"20,"""","""",""J8"",""1PPS Out"",""SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"",1"
"21,"""","""",""J9"",""1PPS In"",""SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"",1"
"22,"""","""",""J10"",""NEO USB Serial"",""PinHeader_1x03_P2.54mm_Horizontal"",1"
"23,"""","""",""J11"",""RPi Interconnect"",""PinHeader_1x04_P2.54mm_Horizontal"",1"
"24,"""","""",""J12"",""NANO USB Serial"",""PinHeader_1x03_P2.54mm_Horizontal"",1"
"25,"""","""",""J13"",""Serial interconnect"",""PinHeader_1x06_P2.54mm_Horizontal"",1"
